TTT (K)	𝝆𝑳	𝝆𝑽	𝑷	∆𝑯𝑽	ρL+/-	ρV+/-	P+/-	Hvap+/-
390.00	0.385900	0.083600	2.727000	10.000000	0.000700	0.000200	0.005000	0.030000
380.00	0.415400	0.065500	2.285000	11.750000	0.000400	0.000200	0.004000	0.020000
370.00	0.438700	0.051700	1.899000	13.210000	0.000600	0.000100	0.003000	0.020000
360.00	0.458200	0.041130	1.564000	14.410000	0.000600	0.000080	0.002000	0.020000
350.00	0.475700	0.032830	1.275000	15.460000	0.000400	0.000040	0.002000	0.010000
340.00	0.491700	0.026120	1.027000	16.380000	0.000400	0.000020	0.001000	0.020000
330.00	0.506500	0.020660	0.817000	17.210000	0.000400	0.000020	0.001000	0.020000
320.00	0.520400	0.016190	0.640000	17.970000	0.000300	0.000020	0.001000	0.020000
310.00	0.533700	0.012540	0.493000	18.670000	0.000300	0.000020	0.001000	0.020000
300.00	0.546400	0.009580	0.372000	19.320000	0.000200	0.000010	0.001000	0.010000
290.00	0.558500	0.007195	0.276000	19.918000	0.000400	0.000005	0.001000	0.004000
280.00	0.570300	0.005298	0.199000	20.490000	0.000500	0.000004	0.001000	0.010000
270.00	0.582200	0.003810	0.140000	21.050000	0.000400	0.000010	0.001000	0.020000
260.00	0.593300	0.002670	0.095500	21.560000	0.000300	0.000010	0.000800	0.020000
250.00	0.603800	0.001810	0.062900	22.040000	0.000600	0.000010	0.000600	0.020000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
440.00	0.400900	0.087100	2.525000	11.510000	0.000400	0.000400	0.003000	0.030000
430.00	0.427100	0.068900	2.146000	13.430000	0.000100	0.000200	0.002000	0.020000
420.00	0.449500	0.055000	1.813000	15.080000	0.000100	0.000100	0.002000	0.010000
410.00	0.468550	0.044390	1.521000	16.447000	0.000050	0.000060	0.001000	0.006000
400.00	0.485450	0.036060	1.267000	17.615000	0.000090	0.000030	0.001000	0.002000
390.00	0.500900	0.029300	1.045000	18.647000	0.000100	0.000020	0.001000	0.007000
380.00	0.515200	0.023720	0.853000	19.580000	0.000200	0.000020	0.001000	0.010000
370.00	0.528800	0.019090	0.689000	20.440000	0.000300	0.000020	0.001000	0.010000
360.00	0.541700	0.015240	0.549000	21.240000	0.000400	0.000010	0.001000	0.020000
350.00	0.554200	0.012045	0.432000	21.980000	0.000500	0.000009	0.001000	0.020000
340.00	0.566100	0.009410	0.334000	22.680000	0.000400	0.000010	0.001000	0.010000
330.00	0.577400	0.007250	0.254000	23.330000	0.000300	0.000020	0.001000	0.010000
320.00	0.588200	0.005490	0.189600	23.940000	0.000500	0.000020	0.000900	0.030000
310.00	0.598700	0.004090	0.138500	24.520000	0.000500	0.000010	0.000700	0.030000
300.00	0.609100	0.002980	0.098700	25.080000	0.000300	0.000010	0.000600	0.020000
290.00	0.619300	0.002120	0.068500	25.620000	0.000500	0.000010	0.000500	0.030000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
410.00	0.408800	0.078000	2.210000	11.400000	0.000500	0.000300	0.006000	0.040000
400.00	0.433100	0.061300	1.863000	13.120000	0.000500	0.000100	0.006000	0.030000
390.00	0.453700	0.048900	1.560000	14.540000	0.000700	0.000100	0.005000	0.030000
380.00	0.471500	0.039440	1.295000	15.700000	0.000600	0.000070	0.004000	0.030000
370.00	0.487600	0.031870	1.066000	16.710000	0.000500	0.000040	0.004000	0.030000
360.00	0.502500	0.025680	0.867000	17.620000	0.000500	0.000030	0.004000	0.020000
350.00	0.516600	0.020560	0.698000	18.440000	0.000400	0.000030	0.004000	0.020000
340.00	0.529700	0.016330	0.554000	19.200000	0.000500	0.000030	0.003000	0.020000
330.00	0.542100	0.012840	0.433000	19.890000	0.000700	0.000030	0.003000	0.030000
